ch,wl,bp,bare laser,
13,1558.98,1.55898,21.12,
14,1558.58,1.55858,21.15,
15,1558.17,1.55817,21.15,
16,1557.77,1.55777,21.03,
17,1557.36,1.55736,20.99,
18,1556.96,1.55696,20.92,
19,1556.55,1.55655,20.95,
20,1555.34,1.55534,20.96,
21,1555.75,1.55575,21.09,
22,1555.34,1.441,21.14,
23,1554.94,2.986,21.23,
24,1554.54,5.907,21.25,
25,1554.13,10.6,21.25,
26,1553.73,15.8,21.15,
27,1553.33,19.5,21.13,
28,1552.93,20.97,21.08,
29,1552.52,21.2,21.07,
30,1552.12,21.02,21.09,
31,1551.72,20.87,21.17,
32,1551.32,20.75,21.17,
33,1550.92,20.77,21.22,
34,1550.52,20.78,21.17,
35,1550.12,20.84,21.18,
36,1549.72,20.77,21.1,
37,1549.32,20.76,21.06,
38,1548.91,20.63,20.98,
39,1548.51,20.61,20.96,
40,1548.11,20.61,20.92,
41,1547.72,20.68,20.98,
42,1547.32,20.54,21,
43,1546.92,19.89,21.05,
44,1546.52,17.84,21.02,
45,1546.12,13.75,20.99,
46,1545.72,8.6,20.86,
47,1545.32,4.431,20.87,
48,1544.92,2.131,20.69,
49,1544.53,1.006,20.65,
50,1544.13,1.54413,20.61,
51,1543.73,1.54373,20.66,
52,1543.33,1.54333,20.67,
53,1542.94,1.54294,20.69,
54,1542.54,1.54254,20.64,
55,1542.14,1.54214,20.62,
56,1541.75,1.54175,20.52,
57,1541.35,1.54135,20.45,
58,1540.95,1.54095,20.38,
59,1540.56,1.54056,20.39,
60,1540.16,1.54016,20.37,
61,1539.77,1.53977,20.4,
62,1539.37,1.53937,20.41,
63,1538.98,1.53898,20.42,
